Date,BSE_Code,BSE_Volume,BSE_Delivery,Price,PrevClose,Segment,Traded_Value_lacs
230120,539118,4095,2031,556.15,559.4,A ,11.3
230120,539121,714,689,81.65,79.35,X ,0.56
230120,539122,15590,11012,16.03,16.3,X ,1.77
230120,539123,34016,34016,5.95,6.0,X ,2.02
230120,539124,377,377,52.95,55.7,XT,0.2
230120,539126,64092,47983,16.15,16.4,B ,7.75
230120,539132,4002,2557,42.05,43.2,X ,1.08
230120,539141,2933,2427,88.1,88.85,B ,2.14
230120,539143,48152,40820,9.99,10.01,X ,4.08
230120,539148,526,412,715.3,722.35,B ,2.95
230120,539149,2769,2559,3.76,3.75,X ,0.1
230120,539150,15693,6633,325.05,324.15,A ,21.56
230120,539151,18192,15874,24.3,24.2,X ,3.86
230120,539176,248,248,66.9,65.0,XT,0.17
230120,539177,20982,12692,212.1,199.25,B ,26.92
230120,539190,302,302,84.15,85.85,XT,0.25
230120,539195,6497,5981,143.2,144.1,X ,8.56
230120,539196,25901,19100,46.65,46.2,X ,8.91
230120,539199,21205,21205,537.85,546.5,XT,114.05
230120,539201,20716,11744,130.8,129.75,B ,15.36
230120,539216,57955,35056,5.22,5.29,B ,1.83
230120,539217,124580,81136,1.15,1.12,X ,0.93
230120,539218,461,282,87.5,88.9,X ,0.25
230120,539219,220420,220420,6.02,5.74,XT,13.27
230120,539220,3263,3263,37.8,37.55,XT,1.23
230120,539221,697,397,666.35,675.8,A ,2.65
230120,539222,102500,60000,64.3,66.65,M ,38.58
230120,539223,5187,5017,5.54,5.17,X ,0.28
230120,539226,15153,6348,83.0,83.1,B ,5.27
230120,539227,7847,6367,64.85,62.7,B ,4.13
230120,539228,19501,19501,10.81,11.03,XT,2.11
230120,539251,1560,1560,37.6,37.85,T ,0.59
230120,539252,41106,34001,20.5,20.6,B ,6.97
230120,539254,20350,6531,2738.7,2735.3,A ,178.86
230120,539255,445,392,131.8,134.2,X ,0.52
230120,539267,1125,636,27.3,26.85,X ,0.17
230120,539268,13333,9401,603.25,602.5,A ,56.71
230120,539275,6899,6899,199.65,190.15,B ,13.77
230120,539276,428,297,303.0,307.6,B ,0.9
230120,539277,52286833,22727699,1.72,1.64,X ,390.92
230120,539278,740503,311290,6.68,6.37,X ,20.79
230120,539287,42768,30187,25.85,24.05,B ,7.8
230120,539288,5406,4150,18.35,18.2,X ,0.76
230120,539289,6858,5200,122.65,120.85,B ,6.38
230120,539290,5430,4136,24.9,25.0,B ,1.03
230120,539291,3281,2261,6.91,7.25,X ,0.16
230120,539300,4627,2499,83.95,83.1,X ,2.1
230120,539301,21086,13582,296.45,317.25,B ,40.26
230120,539302,798,250,2183.45,2182.25,B ,5.46
230120,539304,231242,231242,57.65,57.9,XT,133.31
